,id,full_name,first_name,last_name,is_active
2744,77493,Tharon Mayes,Tharon,Mayes,0
2745,77495,Bill Mayfield,Bill,Mayfield,0
2746,77494,Ken Mayfield,Ken,Mayfield,0
2747,201953,Eric Maynor,Eric,Maynor,0
2748,201564,O.J. Mayo,O.J.,Mayo,0
2749,1630219,Skylar Mays,Skylar,Mays,0
2750,77496,Travis Mays,Travis,Mays,0
2751,77497,Matt Mazza,Matt,Mazza,0
2752,201601,Luc Mbah a Moute,Luc,Mbah a Moute,0
2753,2788,DJ Mbenga,DJ,Mbenga,0
2754,77498,Bob McAdoo,Bob,McAdoo,0
2755,203949,James Michael McAdoo,James Michael,McAdoo,0
2756,77499,Ken McBride,Ken,McBride,0
2757,1630540,Miles McBride,Miles,McBride,1
2758,1628769,Tahjere McCall,Tahjere,McCall,0
2759,203492,Ray McCallum,Ray,McCallum,0
2760,737,Bob McCann,Bob,McCann,0
2761,77500,Brendan McCann,Brendan,McCann,0
2762,77502,Mel McCants,Mel,McCants,0
2763,101119,Rashad McCants,Rashad,McCants,0
2764,77503,Mike McCarron,Mike,McCarron,0
2765,77504,Andre McCarter,Andre,McCarter,0
2766,77505,Willie McCarter,Willie,McCarter,0
2767,77506,Johnny McCarthy,Johnny,McCarthy,0
2768,77507,Howie McCarty,Howie,McCarty,0
2769,1820,Kelly McCarty,Kelly,McCarty,0
2770,962,Walter McCarty,Walter,McCarty,0
2771,1043,Amal McCaskill,Amal,McCaskill,0
2772,1627775,Patrick McCaw,Patrick,McCaw,0
2773,77509,Dwayne McClain,Dwayne,McClain,0
2774,77510,Ted 'Hound Dog' McClain,Ted 'Hound Dog',McClain,0
2775,2082,Dan McClintock,Dan,McClintock,0
2776,77512,Jack McCloskey,Jack,McCloskey,0
2777,45,George McCloud,George,McCloud,0
2778,1630644,Mac McClung,Mac,McClung,1
2779,203468,CJ McCollum,CJ,McCollum,1
2780,77513,John McConathy,John,McConathy,0
2781,77514,Paul McConnell,Paul,McConnell,0
2782,204456,T.J. McConnell,T.J.,McConnell,1
2783,77515,Keith McCord,Keith,McCord,0
2784,77516,Tim McCormick,Tim,McCormick,0
2785,1741,Jelani McCoy,Jelani,McCoy,0
2786,77517,Paul McCracken,Paul,McCracken,0
2787,200840,Chris McCray,Chris,McCray,0
2788,1622,Rodney McCray,Rodney,McCray,0
2789,77518,Scooter McCray,Scooter,McCray,0
2790,1628571,Erik McCree,Erik,McCree,0
2791,1626191,Chris McCullough,Chris,McCullough,0
2792,77520,John McCullough,John,McCullough,0
2793,723,Clint McDaniel,Clint,McDaniel,0
2794,1365,Xavier McDaniel,Xavier,McDaniel,0
2795,1630183,Jaden McDaniels,Jaden,McDaniels,1
2796,1629667,Jalen McDaniels,Jalen,McDaniels,1
2797,77523,Jim McDaniels,Jim,McDaniels,0
2798,203909,KJ McDaniels,KJ,McDaniels,0
2799,203926,Doug McDermott,Doug,McDermott,1
2800,1630253,Sean McDermott,Sean,McDermott,0
2801,77524,Ben McDonald,Ben,McDonald,0
2802,77525,Glenn McDonald,Glenn,McDonald,0
2803,1075,Michael McDonald,Michael,McDonald,0
2804,77527,Hank McDowell,Hank,McDowell,0
2805,686,Antonio McDyess,Antonio,McDyess,0
2806,77528,Jim McElroy,Jim,McElroy,0
2807,200829,Ivan McFarlin,Ivan,McFarlin,0
2808,77529,Mel McGaha,Mel,McGaha,0
2809,203956,Mitch McGary,Mitch,McGary,0
2810,201580,JaVale McGee,JaVale,McGee,1
2811,77530,Mike McGee,Mike,McGee,0
2812,77531,Bill McGill,Bill,McGill,0
2813,77532,George McGinnis,George,McGinnis,0
2814,77533,Jon McGlocklin,Jon,McGlocklin,0
2815,1631121,Bryce McGowens,Bryce,McGowens,1
2816,1503,Tracy McGrady,Tracy,McGrady,0
2817,77534,Gil McGregor,Gil,McGregor,0
2818,1630787,Cameron McGriff,Cameron,McGriff,0
2819,203585,Rodney McGruder,Rodney,McGruder,1
2820,77536,Al McGuire,Al,McGuire,0
2821,77535,Allie McGuire,Allie,McGuire,0
2822,77537,Dick McGuire,Dick,McGuire,0
2823,201187,Dominic McGuire,Dominic,McGuire,0
2824,1450,Kevin McHale,Kevin,McHale,0
2825,29,Jim McIlvaine,Jim,McIlvaine,0
2826,976,Jeff McInnis,Jeff,McInnis,0
2827,77540,Kenny McIntosh,Kenny,McIntosh,0
2828,77541,Kevin McKenna,Kevin,McKenna,0
2829,77542,Forrest McKenzie,Forrest,McKenzie,0
2830,77543,Stan McKenzie,Stan,McKenzie,0
2831,365,Derrick McKey,Derrick,McKey,0
2832,243,Aaron McKie,Aaron,McKie,0
2833,77547,Billy McKinney,Billy,McKinney,0
2834,77545,Carlton McKinney,Carlton,McKinney,0
2835,77546,Horace McKinney,Horace,McKinney,0
2836,203590,Trey McKinney-Jones,Trey,McKinney-Jones,0
2837,1628035,Alfonzo McKinnie,Alfonzo,McKinnie,0
2838,1630605,JaQuori McLaughlin,JaQuori,McLaughlin,0
2839,1629162,Jordan McLaughlin,Jordan,McLaughlin,1
2840,203463,Ben McLemore,Ben,McLemore,0
2841,77548,Mccoy McLemore,Mccoy,McLemore,0
2842,77549,George McLeod,George,McLeod,0
2843,2693,Keith McLeod,Keith,McLeod,0
2844,1728,Roshown McLeod,Roshown,McLeod,0
2845,77551,Jack McMahon,Jack,McMahon,0
2846,203,Nate McMillan,Nate,McMillan,0
2847,77553,Tom McMillen,Tom,McMillen,0
2848,77554,Jim McMillian,Jim,McMillian,0
2849,77555,Shellie McMillon,Shellie,McMillon,0
2850,77556,Mal McMullan,Mal,McMullan,0
2851,77557,Chet McNabb,Chet,McNabb,0
2852,77558,Mark McNamara,Mark,McNamara,0
2853,77559,Joe McNamee,Joe,McNamee,0
2854,202077,Jerel McNeal,Jerel,McNeal,0
2855,77560,Chris McNealy,Chris,McNealy,0
2856,77562,Bob McNeill,Bob,McNeill,0
2857,77561,Larry McNeill,Larry,McNeill,0
2858,77563,Carl McNulty,Carl,McNulty,0
2859,2101,Paul McPherson,Paul,McPherson,0
2860,77565,Cozell McQueen,Cozell,McQueen,0
2861,203895,Jordan McRae,Jordan,McRae,0
2862,77566,Thales McReynolds,Thales,McReynolds,0
2863,201177,Josh McRoberts,Josh,McRoberts,0
2864,77567,Eric McWilliams,Eric,McWilliams,0
2865,77568,George Mearns,George,Mearns,0
2866,2098,Slava Medvedenko,Slava,Medvedenko,0
2867,1577,Darnell Mee,Darnell,Mee,0
2868,201975,Jodie Meeks,Jodie,Meeks,0
2869,77570,Cliff Meely,Cliff,Meely,0
2870,77571,Scott Meents,Scott,Meents,0
2871,77572,Dick Mehen,Dick,Mehen,0
2872,77573,Don Meineke,Don,Meineke,0
2873,77574,Carl Meinhold,Carl,Meinhold,0
2874,1626257,Salah Mejri,Salah,Mejri,0
2875,203539,Gal Mekel,Gal,Mekel,0
2876,77576,Bill Melchionni,Bill,Melchionni,0
2877,77575,Gary Melchionni,Gary,Melchionni,0
2878,1629740,Nicolo Melli,Nicolo,Melli,0
2879,203097,Fab Melo,Fab,Melo,0
2880,1629001,De'Anthony Melton,De'Anthony,Melton,1
2881,77577,Ed Melvin,Ed,Melvin,0
2882,77578,Dean Meminger,Dean,Meminger,0
2883,77579,Chuck Mencel,Chuck,Mencel,0
2884,77580,John Mengelt,John,Mengelt,0
2885,77581,Ken Menke,Ken,Menke,0
2886,200822,Pops Mensah-Bonsu,Pops,Mensah-Bonsu,0
2887,1500,Ron Mercer,Ron,Mercer,0
2888,77582,Joe Meriweather,Joe,Meriweather,0
2889,77583,Porter Meriwether,Porter,Meriwether,0
2890,1630241,Sam Merrill,Sam,Merrill,1
2891,77584,Tom Meschery,Tom,Meschery,0
2892,1629002,Chimezie Metu,Chimezie,Metu,1
2893,684,Loren Meyer,Loren,Meyer,0
2894,77586,Dave Meyers,Dave,Meyers,0
2895,77587,Stan Miasek,Stan,Miasek,0
2896,77588,Larry Micheaux,Larry,Micheaux,0
2897,1626175,Jordan Mickey,Jordan,Mickey,0
2898,203114,Khris Middleton,Khris,Middleton,1
2899,77589,Zigmund Mihalik,Zigmund,Mihalik,0
2900,2036,Chris Mihm,Chris,Mihm,0
2901,1628450,Eric Mika,Eric,Mika,0
2902,77590,Ed Mikan,Ed,Mikan,0
2903,600012,George Mikan,George,Mikan,0
2904,77591,Larry Mikan,Larry,Mikan,0
2905,77593,Vern Mikkelsen,Vern,Mikkelsen,0
2906,77594,Al Miksis,Al,Miksis,0
2907,101223,Aaron Miles,Aaron,Miles,0
2908,101139,CJ Miles,CJ,Miles,0
2909,2032,Darius Miles,Darius,Miles,0
2910,77596,Eddie Miles,Eddie,Miles,0
2911,1527,Marko Milic,Marko,Milic,0
2912,2545,Darko Milicic,Darko,Milicic,0
2913,77598,Nat Militzok,Nat,Militzok,0
2914,1889,Andre Miller,Andre,Miller,0
2915,292,Anthony Miller,Anthony,Miller,0
2916,77605,Bill Miller,Bill,Miller,0
2917,77603,Bob Miller,Bob,Miller,0
2918,1802,Brad Miller,Brad,Miller,0
2919,203121,Darius Miller,Darius,Miller,0
2920,77602,Dick Miller,Dick,Miller,0
2921,77599,Eddie Miller,Eddie,Miller,0
2922,77600,Harry Miller,Harry,Miller,0
2923,77601,Jay Miller,Jay,Miller,0
2924,1626259,Malcolm Miller,Malcolm,Miller,0
2925,2034,Mike Miller,Mike,Miller,0
2926,932,Oliver Miller,Oliver,Miller,0
2927,203113,Quincy Miller,Quincy,Miller,0
2928,397,Reggie Miller,Reggie,Miller,0
2929,77604,Walt Miller,Walt,Miller,0
2930,168,Chris Mills,Chris,Mills,0
2931,77606,John Mills,John,Mills,0
2932,201988,Patty Mills,Patty,Mills,1
2933,371,Terry Mills,Terry,Mills,0
2934,202407,Elijah Millsap,Elijah,Millsap,0
2935,200794,Paul Millsap,Paul,Millsap,0
2936,1629003,Shake Milton,Shake,Milton,1
2937,114,Harold Miner,Harold,Miner,0
2938,77609,Dirk Minniefield,Dirk,Minniefield,0
2939,77610,Dave Minor,Dave,Minor,0
2940,65,Greg Minor,Greg,Minor,0
2941,77612,Mark Minor,Mark,Minor,0
2942,1631169,Josh Minott,Josh,Minott,1
2943,202703,Nikola Mirotic,Nikola,Mirotic,0
2944,77613,Wat Misaka,Wat,Misaka,0
2945,1954,Jason Miskiri,Jason,Miskiri,0
2946,1630558,Davion Mitchell,Davion,Mitchell,1
2947,1628378,Donovan Mitchell,Donovan,Mitchell,1
2948,77615,Mike Mitchell,Mike,Mitchell,0
2949,77616,Murray Mitchell,Murray,Mitchell,0
2950,417,Sam Mitchell,Sam,Mitchell,0
2951,77614,Todd Mitchell,Todd,Mitchell,0
2952,203183,Tony Mitchell,Tony,Mitchell,0
2953,203502,Tony Mitchell,Tony,Mitchell,0
2954,1628513,Naz Mitrou-Long,Naz,Mitrou-Long,0
2955,77618,Steve Mix,Steve,Mix,0
